学校名字,夏令营报名开始,夏令营报名结束,夏令营结果通知,夏令营时间开始,夏令营时间结束,url
复旦大数据学院,5-10,5-31,6-15,,,https://sds.fudan.edu.cn/3f/31/c17701a671537/page.htm
南大ai学院,5-6,6-2,6-21,7-3,7-5,https://ai.nju.edu.cn/6d/dc/c53055a683484/page.htm
